text,labels,lang,id,translation
Revenue Recognition,['Accounting & Assurance'],English,Israel-4145,Revenue Recognition
Más de la mitad de las empresas españolas fueron víctimas de algún delito económico en los últimos dos años,['Financial Crime'],Spanish,Spain-2044,More than half of the Spanish companies were victims of some economic crime in the last two years
Wynagrodzenie netto w Polsce to średnio 71% pensji brutto,['Human Resource'],Polish,Poland-1567,The net salary in Poland is an average of 71% of the gross salary
Time to talk: What has to change for women at work,['Human Resource'],English,Turkey-5447,Time to talk: What has to change for women at work
Total Retail 2017,['Retail & Consumers'],English,Spain-1981,Total Retail 2017
European Private Business Survey 2018,['SME & Family Business'],English,Spain-2756,European Private Business Survey 2018
Növekvő vízügyi kockázatok,"['Power, Energy & Renewables']",Hungarian,Hungary-61,Increasing water risks
Αναστολή συμβάσεων εργασίας Αυγούστου,['Human Resource'],Greek,Greece-10248,Suspension of August Labor contracts
Zmiany w funkcjonowaniu rad nadzorczych zmierzają w dobrym kierunku lecz wymagają przyspieszenia,"['Board, Strategy & Management']",Polish,Poland-1339,Changes in the functioning of supervisory boards are going in the right direction but require acceleration
Grundejer opnår tocifret millionbesparelse i grundskyld,"['Accounting & Assurance', 'Real Estate & Construction']",Danish,Denmark-12658,Landowner achieves double -digit million savings in basic debt
PwC refuerza su equipo directivo en el País Vasco con Aitor Soloeta y Estíbaliz Pérez,"['Board, Strategy & Management']",Spanish,Spain-2312,PWC reinforces his management team in the Basque Country with Aitor Soloeta and Estíbaliz Pérez
Compliance with Regulations and Standards,"['Governance, Controls & Compliance']",English,Turkey-5410,Compliance with Regulations and Standards
Legal Flash: Social security of freelancers update,"['Actuary, Pension & Insurance', 'SME & Family Business']",English,Greece-10775,Legal Flash: Social security of freelancers update
"Cumhurbaşkanı 21 sayılı, 15 Ağustos 2018 tarihli kararı Amerika Birleşik Devletleri Menşeli Bazı Ürünlerin İthalatında Ek Mali Yükümlülük Uygulanmasına Dair Kararda Değişiklik Yapılmasına İlişkin Karar",['VAT & Customs'],Turkish,Turkey-7403,"The decision on the implementation of additional financial obligation in imports of some products originating of the United States of the United States dated 15 August 2018, numbered 21, Decision on August 15, 2018"
Jak się przygotować do wdrożenia nowego systemu IT?,['Technology'],Polish,Poland-668,How to prepare for the implementation of a new IT system?
Annual report 2016: Empowering our people transcript,['Accounting & Assurance'],English,Turkey-9103,Annual report 2016: Empowering our people transcript
Ny tysk emballagelovgivning og risiko for store bøder,"['Governance, Controls & Compliance', 'Government & Policy']",Danish,Denmark-12678,New German packaging legislation and risk of large fines
NTT ComとPwCコンサルティング、デジタル設計データとAIを活用したデジタルマッチングプラットフォーム（設計／調達DX）を展開,"['Technology', 'Supply Chain & Transport']",Japanese,Japan-9869,"Own NTT COM and PWC consulting, digital matching platform (design / procurement DX) using digital design data and AI"
Udsættelse af de nye fjernsalgsregler - hvad betyder det for dig?,['VAT & Customs'],Danish,Denmark-13184,Postponing the new distance selling rules - what does it mean to you?
KDV ÖTV ve Tapu Harcı uygulamalarına ilişkin 287 sayılı Cumhurbaşkanı Kararı ÖTV ve Tapu Harcı uygulamalarına ilişkin 287 sayılı ,"['Real Estate & Construction', 'VAT & Customs', 'Government & Policy']",Turkish,Turkey-7260,287 on VAT SCT and Land Registry Fees Practices No 287 on SCT and Land Registry Mortar Practices
Avrupa borsalarında borç ihracı hakkında rehber,['Banking & Financial Markets'],Turkish,Turkey-7025,Guide about debt issuance in European stock exchanges
Kundetilfredshed stryger til tops,"['Board, Strategy & Management']",Danish,Denmark-13538,Customer Satisfaction Stryks to Tops
Creating a strategic business plan and a development road map,"['Board, Strategy & Management']",English,Turkey-5314,Creating a strategic business plan and a development road map
Z Nesli Araştırması,['Human Resource'],Turkish,Turkey-6988,Z generation research
Working together to prevent diabetes in western Sydney,['Healthcare & Pharmaceuticals'],English,Spain-2821,Working together to prevent diabetes in western Sydney
La televisión y la publicidad en internet tirarán del sector de Entretenimiento y Medios en que crecerá un 29% hasta 2020,"['Entertainment, Media & eSport', 'Technology']",Spanish,Spain-2137,Television and Internet advertising will pull the entertainment sector and media in which 29% to 2020 will grow
"Podcast: Nyt om skat, uge 21 - deleøkonomisk aftale",['Tax'],Danish,Denmark-12531,"Podcast: New About Tax, Week 21 - Sharing Economic Agreement"
Κώδικας Φορολογικής Διαδικασίας (Νόμος 4174/2013),['Tax'],Greek,Greece-10065,Tax Procedure Code (Law 4174/2013)
Komşu teyzeler Eurobond günü yaparsa,['Banking & Financial Markets'],Turkish,Turkey-8426,If neighboring aunts do the eurobond day
Implementering af IFRS 16,['Accounting & Assurance'],Danish,Denmark-12549,Implementation of IFRS 16
